item_id,category,product_type,brand,color,title,description,price,image_url
item_00000,electronics,wireless headphones,Atlas,gray,Atlas Gray Wireless Headphones,"Atlas Gray Wireless Headphones designed for electronics enthusiasts. This reliable wireless headphones features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",860.0,https://images.unsplash.com/photo-1000000000000?auto=format&fit=crop&w=400&q=80
item_00001,home,storage organizer,Nova,gray,Nova Gray Storage Organizer,"Nova Gray Storage Organizer designed for home enthusiasts. This reliable storage organizer features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",103.23,https://images.unsplash.com/photo-1000000000001?auto=format&fit=crop&w=400&q=80
item_00002,fashion,winter coat,Summit,gray,Summit Gray Winter Coat,"Summit Gray Winter Coat designed for fashion enthusiasts. This reliable winter coat features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",788.19,https://images.unsplash.com/photo-1000000000002?auto=format&fit=crop&w=400&q=80
item_00003,beauty,body lotion,Pulse,white,Pulse White Body Lotion,"Pulse White Body Lotion designed for beauty enthusiasts. This reliable body lotion features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",455.87,https://images.unsplash.com/photo-1000000000003?auto=format&fit=crop&w=400&q=80
item_00004,sports,resistance bands,Orion,white,Orion White Resistance Bands,"Orion White Resistance Bands designed for sports enthusiasts. This reliable resistance bands features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",647.42,https://images.unsplash.com/photo-1000000000004?auto=format&fit=crop&w=400&q=80
item_00005,books,programming book,Zenith,silver,Zenith Silver Programming Book,"Zenith Silver Programming Book designed for books enthusiasts. This reliable programming book features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",448.97,https://images.unsplash.com/photo-1000000000005?auto=format&fit=crop&w=400&q=80
item_00006,electronics,computer monitor,Apex,black,Apex Black Computer Monitor,"Apex Black Computer Monitor designed for electronics enthusiasts. This reliable computer monitor features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",73.17,https://images.unsplash.com/photo-1000000000006?auto=format&fit=crop&w=400&q=80
item_00007,home,vacuum cleaner,Nexa,silver,Nexa Silver Vacuum Cleaner,"Nexa Silver Vacuum Cleaner designed for home enthusiasts. This reliable vacuum cleaner features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",635.34,https://images.unsplash.com/photo-1000000000007?auto=format&fit=crop&w=400&q=80
item_00008,fashion,hoodie,Atlas,gray,Atlas Gray Hoodie,"Atlas Gray Hoodie designed for fashion enthusiasts. This reliable hoodie features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",970.98,https://images.unsplash.com/photo-1000000000008?auto=format&fit=crop&w=400&q=80
item_00009,beauty,perfume,Zenith,brown,Zenith Brown Perfume,"Zenith Brown Perfume designed for beauty enthusiasts. This reliable perfume features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",780.59,https://images.unsplash.com/photo-1000000000009?auto=format&fit=crop&w=400&q=80
item_00010,sports,football,Vertex,blue,Vertex Blue Football,"Vertex Blue Football designed for sports enthusiasts. This reliable football features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",53.36,https://images.unsplash.com/photo-1000000000010?auto=format&fit=crop&w=400&q=80
item_00011,books,history book,Pulse,white,Pulse White History Book,"Pulse White History Book designed for books enthusiasts. This reliable history book features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",686.21,https://images.unsplash.com/photo-1000000000011?auto=format&fit=crop&w=400&q=80
item_00012,electronics,tablet,Atlas,blue,Atlas Blue Tablet,"Atlas Blue Tablet designed for electronics enthusiasts. This reliable tablet features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",332.56,https://images.unsplash.com/photo-1000000000012?auto=format&fit=crop&w=400&q=80
item_00013,home,water bottle,Summit,blue,Summit Blue Water Bottle,"Summit Blue Water Bottle designed for home enthusiasts. This reliable water bottle features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",474.85,https://images.unsplash.com/photo-1000000000013?auto=format&fit=crop&w=400&q=80
item_00014,fashion,sunglasses,Vertex,red,Vertex Red Sunglasses,"Vertex Red Sunglasses designed for fashion enthusiasts. This reliable sunglasses features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",480.94,https://images.unsplash.com/photo-1000000000014?auto=format&fit=crop&w=400&q=80
item_00015,beauty,shampoo,Orion,white,Orion White Shampoo,"Orion White Shampoo designed for beauty enthusiasts. This reliable shampoo features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",673.11,https://images.unsplash.com/photo-1000000000015?auto=format&fit=crop&w=400&q=80
item_00016,sports,sports bottle,Zenith,white,Zenith White Sports Bottle,"Zenith White Sports Bottle designed for sports enthusiasts. This reliable sports bottle features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",703.25,https://images.unsplash.com/photo-1000000000016?auto=format&fit=crop&w=400&q=80
item_00017,books,psychology book,Nova,blue,Nova Blue Psychology Book,"Nova Blue Psychology Book designed for books enthusiasts. This reliable psychology book features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",833.93,https://images.unsplash.com/photo-1000000000017?auto=format&fit=crop&w=400&q=80
item_00018,electronics,computer monitor,Nexa,silver,Nexa Silver Computer Monitor,"Nexa Silver Computer Monitor designed for electronics enthusiasts. This reliable computer monitor features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",295.43,https://images.unsplash.com/photo-1000000000018?auto=format&fit=crop&w=400&q=80
item_00019,home,storage organizer,Apex,gray,Apex Gray Storage Organizer,"Apex Gray Storage Organizer designed for home enthusiasts. This reliable storage organizer features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",148.34,https://images.unsplash.com/photo-1000000000019?auto=format&fit=crop&w=400&q=80
item_00020,fashion,sunglasses,Vertex,silver,Vertex Silver Sunglasses,"Vertex Silver Sunglasses designed for fashion enthusiasts. This reliable sunglasses features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",789.05,https://images.unsplash.com/photo-1000000000020?auto=format&fit=crop&w=400&q=80
item_00021,beauty,face moisturizer,Atlas,gray,Atlas Gray Face Moisturizer,"Atlas Gray Face Moisturizer designed for beauty enthusiasts. This reliable face moisturizer features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",708.1,https://images.unsplash.com/photo-1000000000021?auto=format&fit=crop&w=400&q=80
item_00022,sports,cycling helmet,Atlas,green,Atlas Green Cycling Helmet,"Atlas Green Cycling Helmet designed for sports enthusiasts. This reliable cycling helmet features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",573.04,https://images.unsplash.com/photo-1000000000022?auto=format&fit=crop&w=400&q=80
item_00023,books,history book,Nova,white,Nova White History Book,"Nova White History Book designed for books enthusiasts. This reliable history book features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",123.37,https://images.unsplash.com/photo-1000000000023?auto=format&fit=crop&w=400&q=80
item_00024,electronics,computer monitor,Lumina,gray,Lumina Gray Computer Monitor,"Lumina Gray Computer Monitor designed for electronics enthusiasts. This reliable computer monitor features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",569.57,https://images.unsplash.com/photo-1000000000024?auto=format&fit=crop&w=400&q=80
item_00025,home,storage organizer,Nova,silver,Nova Silver Storage Organizer,"Nova Silver Storage Organizer designed for home enthusiasts. This reliable storage organizer features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",638.36,https://images.unsplash.com/photo-1000000000025?auto=format&fit=crop&w=400&q=80
item_00026,fashion,winter coat,Pulse,black,Pulse Black Winter Coat,"Pulse Black Winter Coat designed for fashion enthusiasts. This reliable winter coat features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",310.9,https://images.unsplash.com/photo-1000000000026?auto=format&fit=crop&w=400&q=80
item_00027,beauty,hair dryer,Lumina,black,Lumina Black Hair Dryer,"Lumina Black Hair Dryer designed for beauty enthusiasts. This reliable hair dryer features modern styling, durable materials, practical performance, and comfortable everyday use. Suitable for home, travel, work, and personal activities.",442.34,https://images.unsplash.com/photo-1000000000027?auto=format&fit=crop&w=400&q=80
